epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1163,2.91852,4.90576,0.80344,0.54534,0.37292,0.30543,0.07496,2.80959,1.81941,0.77387,0.0033291,0.0033291,0.0033291
2,95.6155,2.84328,1.93321,0.79535,0.69641,0.51159,0.50291,0.17413,2.10909,1.02082,0.76922,0.00663605,0.00663605,0.00663605
3,144.819,2.84666,1.41756,0.79466,0.50632,0.34902,0.33321,0.09195,2.82267,1.46811,0.7713,0.0099166,0.0099166,0.0099166
4,191.948,2.67176,1.10347,0.78063,0.6948,0.47188,0.53805,0.17562,2.28913,1.02819,0.77051,0.0098812,0.0098812,0.0098812
5,241.142,2.40753,0.97698,0.77263,0.75414,0.50422,0.58746,0.22623,1.99267,0.92683,0.76372,0.0098416,0.0098416,0.0098416
6,289.203,2.30405,0.92713,0.76973,0.73959,0.51368,0.59964,0.21046,2.1998,0.98913,0.75544,0.009802,0.009802,0.009802
7,340.773,2.23384,0.86548,0.76869,0.77866,0.56825,0.65215,0.25378,2.06682,1.03442,0.75112,0.0097624,0.0097624,0.0097624
8,390.532,2.15282,0.83276,0.75974,0.78477,0.559,0.63743,0.20349,2.42003,0.96197,0.75601,0.0097228,0.0097228,0.0097228
9,442.39,2.1144,0.81474,0.76346,0.75207,0.53135,0.61973,0.22209,2.18537,1.0374,0.7497,0.0096832,0.0096832,0.0096832
10,493.077,2.09313,0.81072,0.76319,0.67802,0.50562,0.54949,0.18868,2.23329,1.04146,0.74752,0.0096436,0.0096436,0.0096436
11,547.005,2.04702,0.78011,0.76168,0.73659,0.53973,0.59236,0.21583,2.11826,1.00337,0.74537,0.009604,0.009604,0.009604
12,597.47,1.97949,0.77669,0.74966,0.83412,0.59079,0.69993,0.28813,1.9334,0.92362,0.744,0.0095644,0.0095644,0.0095644
13,649.954,1.94115,0.74733,0.74768,0.81987,0.59762,0.7004,0.31095,1.71519,0.87916,0.7434,0.0095248,0.0095248,0.0095248
14,701.231,1.92422,0.75513,0.74411,0.82726,0.58057,0.67381,0.27225,1.97603,0.95319,0.74484,0.0094852,0.0094852,0.0094852
15,753.984,1.88897,0.75016,0.75047,0.82982,0.60853,0.69479,0.32415,1.61646,0.89719,0.74014,0.0094456,0.0094456,0.0094456
16,804.955,1.906,0.73154,0.75401,0.83749,0.58874,0.70005,0.30292,1.81091,0.93539,0.74172,0.009406,0.009406,0.009406
17,860.213,1.8543,0.72405,0.73829,0.87605,0.61234,0.74247,0.31855,1.86417,0.86957,0.74106,0.0093664,0.0093664,0.0093664
18,915.771,1.81441,0.69635,0.74065,0.81715,0.58898,0.6783,0.26995,2.0254,0.94577,0.74078,0.0093268,0.0093268,0.0093268
19,967.499,1.83534,0.72647,0.7495,0.83164,0.59063,0.68253,0.27808,1.92424,1.00256,0.74346,0.0092872,0.0092872,0.0092872
20,1020.53,1.81674,0.70292,0.74881,0.88926,0.62812,0.76166,0.37398,1.55299,0.83362,0.73982,0.0092476,0.0092476,0.0092476
21,1072.36,1.80958,0.69369,0.75256,0.87699,0.62209,0.74708,0.33258,1.78159,0.87695,0.74167,0.009208,0.009208,0.009208
22,1126.47,1.80101,0.68992,0.75821,0.85699,0.59891,0.72115,0.33224,1.74724,0.86398,0.7392,0.0091684,0.0091684,0.0091684
23,1177.94,1.7424,0.68415,0.74278,0.86,0.63315,0.73897,0.3525,1.57426,0.80876,0.73934,0.0091288,0.0091288,0.0091288
24,1231.02,1.75761,0.68291,0.74466,0.85542,0.60723,0.7274,0.32966,1.76969,0.86656,0.73924,0.0090892,0.0090892,0.0090892
25,1282.71,1.73579,0.6624,0.74702,0.84782,0.61909,0.72876,0.33416,1.72898,0.86978,0.7368,0.0090496,0.0090496,0.0090496
26,1335.53,1.69655,0.65893,0.73237,0.87307,0.6145,0.7445,0.34889,1.64991,0.84318,0.73361,0.00901,0.00901,0.00901
27,1388.89,1.67711,0.6537,0.73826,0.85158,0.58968,0.72567,0.32439,1.75213,0.87029,0.73961,0.0089704,0.0089704,0.0089704
28,1439.92,1.6842,0.66759,0.74112,0.8262,0.61039,0.72289,0.35499,1.55321,0.85062,0.73485,0.0089308,0.0089308,0.0089308
29,1493.02,1.70819,0.66251,0.74791,0.86664,0.61026,0.72838,0.35088,1.64041,0.83065,0.73596,0.0088912,0.0088912,0.0088912
30,1544.88,1.68661,0.64438,0.74545,0.8762,0.63005,0.73525,0.34345,1.63189,0.86362,0.7349,0.0088516,0.0088516,0.0088516
31,1597.96,1.66407,0.64875,0.73863,0.87625,0.62239,0.74669,0.35802,1.59504,0.83816,0.73457,0.008812,0.008812,0.008812
32,1649.73,1.62052,0.63784,0.72721,0.85859,0.62141,0.745,0.35676,1.61656,0.84897,0.7361,0.0087724,0.0087724,0.0087724
33,1703.19,1.64032,0.64915,0.73244,0.87767,0.62042,0.73452,0.34263,1.67024,0.84296,0.73617,0.0087328,0.0087328,0.0087328
34,1754.41,1.66844,0.64205,0.74659,0.86481,0.61971,0.73876,0.38825,1.41326,0.80487,0.73354,0.0086932,0.0086932,0.0086932
35,1808.98,1.65781,0.63628,0.74608,0.90199,0.61629,0.76346,0.37344,1.63211,0.81417,0.73671,0.0086536,0.0086536,0.0086536
36,1864.54,1.64883,0.63489,0.73514,0.86865,0.59815,0.73451,0.34516,1.62809,0.78049,0.73706,0.008614,0.008614,0.008614
37,1918.47,1.62546,0.62164,0.73276,0.86997,0.62238,0.74462,0.33856,1.72114,0.86762,0.73662,0.0085744,0.0085744,0.0085744
38,1971.56,1.62767,0.64124,0.7412,0.8677,0.59255,0.7327,0.34359,1.65029,0.80293,0.73825,0.0085348,0.0085348,0.0085348
39,2018.93,1.61132,0.62431,0.74251,0.89428,0.61026,0.74933,0.38163,1.51661,0.7913,0.73327,0.0084952,0.0084952,0.0084952
40,2067.69,1.5695,0.60919,0.74279,0.8764,0.60863,0.74661,0.3723,1.57808,0.81325,0.73375,0.0084556,0.0084556,0.0084556
41,2114.5,1.59947,0.62902,0.74582,0.87623,0.60321,0.74493,0.38306,1.45907,0.73532,0.73385,0.008416,0.008416,0.008416
42,2162.31,1.56177,0.62104,0.73432,0.87672,0.61446,0.73423,0.37677,1.4615,0.77155,0.73341,0.0083764,0.0083764,0.0083764
43,2212.34,1.53619,0.60717,0.73499,0.86847,0.58775,0.72147,0.38327,1.42301,0.75529,0.73561,0.0083368,0.0083368,0.0083368
44,2259.68,1.54763,0.61265,0.7414,0.88069,0.60768,0.74019,0.41392,1.34157,0.74598,0.73404,0.0082972,0.0082972,0.0082972
45,2309.05,1.55503,0.62105,0.74102,0.8664,0.5891,0.73233,0.40485,1.35968,0.72512,0.7319,0.0082576,0.0082576,0.0082576
46,2357.24,1.53528,0.60624,0.73507,0.8781,0.61398,0.75314,0.41365,1.36688,0.78193,0.73241,0.008218,0.008218,0.008218
