                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.908,                 10.809,                0.80269,                0.29446,                0.23951,                0.17402,                0.03573,                 3.5434,                 6.1548,                0.80911,              0.0033291,              0.0033291,              0.0033291
                      2,                 2.7511,                 4.4946,                0.78312,                0.49528,                0.36609,                0.34768,                0.11322,                  2.739,                 3.2083,                0.80702,              0.0066361,              0.0066361,              0.0066361
                      3,                 2.7148,                 3.0944,                0.77571,                0.59975,                0.44364,                 0.4425,                0.10304,                 3.0226,                 2.8841,                0.78942,              0.0099166,              0.0099166,              0.0099166
                      4,                 2.6504,                 2.4484,                0.79326,                0.72807,                0.46285,                0.51375,                0.15022,                 2.5779,                 2.2742,                0.79818,              0.0098812,              0.0098812,              0.0098812
                      5,                 2.4893,                   2.13,                0.78247,                0.75421,                0.54212,                0.61346,                0.21217,                 2.4329,                 2.2066,                0.78334,              0.0098812,              0.0098812,              0.0098812
                      6,                 2.3274,                 1.9429,                0.77458,                0.78695,                0.57014,                0.64273,                0.28755,                 1.8364,                 2.0592,                 0.7757,              0.0098416,              0.0098416,              0.0098416
                      7,                 2.1831,                 1.8394,                0.75895,                0.66987,                0.48913,                0.51104,                0.19334,                 2.4028,                 2.1793,                0.78087,               0.009802,               0.009802,               0.009802
                      8,                 2.1305,                 1.8096,                0.76249,                0.80232,                0.57997,                0.65345,                0.22198,                 2.2737,                 2.4256,                0.76984,              0.0097624,              0.0097624,              0.0097624
                      9,                 2.1339,                 1.7564,                0.76587,                0.78269,                0.57326,                0.63713,                0.26329,                 2.0599,                 2.0797,                0.77103,              0.0097228,              0.0097228,              0.0097228
                     10,                 2.0748,                 1.7465,                0.76251,                 0.8015,                0.59033,                 0.6624,                0.26597,                 2.1129,                 2.1364,                0.76671,              0.0096832,              0.0096832,              0.0096832
                     11,                 2.0069,                 1.6763,                0.75078,                 0.7863,                0.58047,                0.64997,                0.24895,                 2.1956,                 2.0937,                0.76685,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.9829,                 1.6709,                0.75216,                0.82223,                0.59939,                0.67926,                0.24249,                 2.2344,                 2.1823,                0.76535,               0.009604,               0.009604,               0.009604
